"billid","billname","committeename"
92,"BILLS-115hr6765ih","Committee on the Judiciary"
93,"BILLS-115hr5977ih","Committee on Education and the Workforce"
94,"BILLS-115hres203ih","Committee on Energy and Commerce"
95,"BILLS-115hres700ih","Committee on the Judiciary"
96,"BILLS-115hr684ih","Committee on the Judiciary"
96,"BILLS-115hr684ih","Committee on Foreign Affairs"
97,"BILLS-115hres936ih","Committee on the Judiciary"
98,"BILLS-115sres737ats","Committee on Oversight and Government Reform"
99,"BILLS-115hres19ih","nan"
100,"BILLS-115hres975ih","Committee on Education and the Workforce"
101,"BILLS-115hr6637ih","Committee on House Administration"
101,"BILLS-115hr6637ih","the Judiciary"
101,"BILLS-115hr6637ih","Oversight and Government Reform"
102,"BILLS-115s3651is","Committee on Veterans Affairs"
103,"BILLS-115s2658is","Committee on the Judiciary"
104,"BILLS-115hr6279ih","Committee on Health, Education, Labor, and Pensions"
105,"BILLS-115s2462is","Committee on Education and the Workforce"
106,"BILLS-115hr3517ih","Committee on Homeland Security and Governmental Affairs"
106,"BILLS-115hr3517ih","Committee on the Judiciary of the Senate"
106,"BILLS-115hr3517ih","Committee on the Judiciary of the House of Representatives"
106,"BILLS-115hr3517ih","Committee on Homeland Security and Governmental Affairs of the Senate"
106,"BILLS-115hr3517ih","Committee on Homeland Security of the House of Representatives"
107,"BILLS-115hr1927ih","Committee on the Judiciary"
108,"BILLS-115hres656ih","Committee on Natural Resources"
109,"BILLS-115hres94ih","Committee on Education and the Workforce"
110,"BILLS-115hres1126ih","Committee on the Judiciary"
111,"BILLS-115hres948ih","Committee on Oversight and Government Reform"
112,"BILLS-115sres547ats","Committee on Oversight and Government Reform"
113,"BILLS-115s3178es","nan"
114,"BILLS-115hr6495ih","nan"
115,"BILLS-115sres144is","Committee on Energy and Commerce"
115,"BILLS-115sres144is","the Judiciary"
115,"BILLS-115sres144is","Education and the Workforce"
116,"BILLS-115s3039is","Committee on the Judiciary"
117,"BILLS-115hr735ih","Committee on Health, Education, Labor, and Pensions"
118,"BILLS-115hr5991ih","Committee on the Judiciary"
118,"BILLS-115hr5991ih","Homeland Security"
118,"BILLS-115hr5991ih","Foreign Affairs"
118,"BILLS-115hr5991ih","Intelligence (Permanent Select)"
119,"BILLS-115s2832is","Committee on the Judiciary"
119,"BILLS-115s2832is","Ways and Means"
119,"BILLS-115s2832is","Homeland Security"
120,"BILLS-115hr1222rs","Committee on Homeland Security and Governmental Affairs"
121,"BILLS-115sres459is","Committee on Health, Education, Labor, and Pensions"
122,"BILLS-115sres576is","Committee on Health, Education, Labor, and Pensions"
123,"BILLS-115hres386ih","Committee on the Judiciary"
124,"BILLS-115hr6464ih","Committee on Oversight and Government Reform"
125,"BILLS-115hres130ih","Committee on Education and the Workforce"
125,"BILLS-115hres130ih","Committee on the Judiciary"
126,"BILLS-115hres925ih","Committee on Energy and Commerce"
127,"BILLS-115sres214ats","Committee on Foreign Affairs"
128,"BILLS-115hr5028ih","Committee on the Judiciary"
129,"BILLS-115hres297ih","Committee on Financial Services"
130,"BILLS-115sres128ats","Committee on Energy and Commerce"
131,"BILLS-115sres128is","Committee on the Judiciary"
132,"BILLS-115sres576ats","Committee on the Judiciary"
133,"BILLS-115hr3676ih","Committee on the Judiciary"
134,"BILLS-115hr2360ih","Committee on the Judiciary"
135,"BILLS-115sres390ats","Committee on Energy and Commerce"
136,"BILLS-115sres72is","nan"
137,"BILLS-115sres214is","Committee on Energy and Natural Resources"
138,"BILLS-115hres158ih","Committee on the Judiciary"
139,"BILLS-115hres428ih","Committee on Natural Resources"
139,"BILLS-115hres428ih","Foreign Affairs"
140,"BILLS-115hr1222enr","Committee on Energy and Commerce"
141,"BILLS-115hr266ih","nan"
142,"BILLS-115s2454is","Committee on the Judiciary"
143,"BILLS-115sres508is","Committee on Banking, Housing, and Urban Affairs"
144,"BILLS-115hr5206rs","Committee on Health, Education, Labor, and Pensions"
145,"BILLS-115sres41ats","Committee on Homeland Security and Governmental Affairs"
146,"BILLS-115s1570is","nan"
147,"BILLS-115hr2590ih","Committee on Homeland Security and Governmental Affairs"
148,"BILLS-115hr5292ih","Committee on Education and the Workforce"
149,"BILLS-115hr1222eas","Committee on Oversight and Government Reform"
150,"BILLS-115hres558ih","nan"
151,"BILLS-115hres713ih","Committee on Energy and Commerce"
152,"BILLS-115hr2650ih","Committee on Foreign Affairs"
153,"BILLS-115s443is","Committee on Education and the Workforce"
154,"BILLS-115hjres95ih","Committee on Health, Education, Labor, and Pensions"
155,"BILLS-115hres818ih","Committee on Oversight and Government Reform"
156,"BILLS-115hr5197rfs","Committee on Energy and Commerce"
157,"BILLS-115hr411ih","Committee on Health, Education, Labor, and Pensions"
158,"BILLS-115s3372is","Committee on Veterans Affairs"
159,"BILLS-115hr5197eh","Committee on the Judiciary"
159,"BILLS-115hr5197eh","Committee on the Judiciary of the Senate, "
159,"BILLS-115hr5197eh","Committee on Homeland Security and Governmental Affairs of the Senate"
159,"BILLS-115hr5197eh","Committee on the Judiciary of the House of Representatives"
159,"BILLS-115hr5197eh","Committee on Homeland Security of the House of Representatives"
160,"BILLS-115hres406ih","nan"
161,"BILLS-115sres439is","Committee on Natural Resources"
162,"BILLS-115hres176ih","Committee on Health, Education, Labor, and Pensions"
163,"BILLS-115hr3636ih","Committee on Energy and Commerce"
164,"BILLS-115s1694is","Committee on Education and the Workforce"
165,"BILLS-115hr5761ih","Committee on Health, Education, Labor, and Pensions"
166,"BILLS-115hjres19ih","Committee on Energy and Commerce"
167,"BILLS-115hr1222rfs","Committee on the Judiciary"
168,"BILLS-115hr1222eh","Committee on Health, Education, Labor, and Pensions"
169,"BILLS-115hr6101ih","nan"
170,"BILLS-115hr2486ih","Committee on Veterans Affairs"
170,"BILLS-115hr2486ih","Oversight and Government Reform"
171,"BILLS-115hres926ih","Committee on the Judiciary"
171,"BILLS-115hres926ih","Education and the Workforce"
172,"BILLS-115sres569is","Committee on Foreign Affairs"
173,"BILLS-115hres144ih","Committee on the Judiciary"
174,"BILLS-115sres322is","Committee on the Judiciary"
175,"BILLS-115hres751ih","Committee on Health, Education, Labor, and Pensions"
176,"BILLS-115sres403ats","Committee on the Judiciary"
177,"BILLS-115hr6659ih","nan"
178,"BILLS-115hres79ih","Committee on Homeland Security"
179,"BILLS-115sres131is","Committee on Education and the Workforce"
180,"BILLS-115sres131ats","Committee on the Judiciary"
181,"BILLS-115s1653is","Committee on the Judiciary"
182,"BILLS-115s1606is","Committee on Health, Education, Labor, and Pensions"
183,"BILLS-115sres77ats","Committee on Health, Education, Labor, and Pensions"
184,"BILLS-115hres941ih","nan"
185,"BILLS-115hr1533ih","Committee on Natural Resources"
186,"BILLS-115hr3273ih","Committee on Energy and Commerce"
187,"BILLS-115sres552is","Committee on Oversight and Government Reform"
188,"BILLS-115hr2826ih","Committee on Foreign Relations"
189,"BILLS-115s1999is","Committee on the Judiciary"
190,"BILLS-115hres758ih","Committee on Health, Education, Labor, and Pensions"
191,"BILLS-115hr2365ih","Committee on the Judiciary"
192,"BILLS-115s3776is","Committee on Natural Resources"
193,"BILLS-115hres1004ih","Committee on Finance"
194,"BILLS-115hr7103ih","Committee on Energy and Commerce"
195,"BILLS-115hr1498ih","Committee on Energy and Commerce"
196,"BILLS-115hconres25ih","Committee on the Judiciary"
197,"BILLS-115sres45ats","Committee on the Judiciary"
198,"BILLS-115hr3658ih","Committee on the Judiciary"
199,"BILLS-115s3018is","Committee on Armed Services"
200,"BILLS-115hres869ih","Committee on Finance"
201,"BILLS-115hres463ih","Committee on Oversight and Government Reform"
202,"BILLS-115sres413ats","Committee on Energy and Commerce"
203,"BILLS-115hr1648ih","nan"
204,"BILLS-115s3082is","Committee on Energy and Commerce"
205,"BILLS-115s3308is","Committee on the Judiciary"
206,"BILLS-115sres45is","Committee on Health, Education, Labor, and Pensions"
207,"BILLS-115hr3590ih","Committee on the Judiciary"
208,"BILLS-115s411is","Committee on Energy and Commerce"
208,"BILLS-115s411is","the Judiciary"
208,"BILLS-115s411is","Natural Resources"
