"representativeid","lastname","firstname","statelabel","statecode","district","chamber","party"
433,"Lamborn","Doug","Colorado",8,5,"Representative","Republican"
434,"Hurd","Will","Texas",48,23,"Representative","Republican"
435,"Perlmutter","Ed","Colorado",8,7,"Representative","Democratic"
436,"Buck","Ken","Colorado",8,4,"Representative","Republican"
437,"DeGette","Diana","Colorado",8,1,"Representative","Democratic"
438,"Coffman","Mike","Colorado",8,6,"Representative","Republican"
439,"Thune","John","South Dakota",46,0,"Senator","Republican"
440,"Rounds","Mike","South Dakota",46,0,"Senator","Republican"
441,"Noem","Kristi L","South Dakota",46,0,"Representative","Republican"
442,"Smith","Adrian","Nebraska",31,3,"Representative","Republican"
443,"Cramer","Kevin","North Dakota",38,0,"Representative","Republican"
444,"Hoeven","John","North Dakota",38,0,"Senator","Republican"
445,"Heitkamp","Heidi","North Dakota",38,0,"Senator","Democratic"
446,"Arrington","Jodey","Texas",48,19,"Representative","Republican"
447,"Conaway","Michael K","Texas",48,11,"Representative","Republican"
448,"Thornberry","Mac","Texas",48,13,"Representative","Republican"
449,"Lucas","Frank D","Oklahoma",40,3,"Representative","Republican"
450,"Marshall","Roger","Kansas",20,1,"Representative","Republican"
451,"Cuellar","Henry","Texas",48,28,"Representative","Democratic"
452,"Smith","Lamar","Texas",48,21,"Representative","Republican"
453,"Hirono","Mazie K","Hawaii",15,0,"Senator","Democratic"
454,"Burr","Richard","North Carolina",37,0,"Senator","Republican"
455,"Lee","Mike","Utah",49,0,"Senator","Republican"
456,"Shelby","Richard C","Alabama",1,0,"Senator","Republican"
457,"Vitter","David","Louisiana",22,0,"Senator","Republican"
458,"Gillibrand","Kirsten E","New York",36,0,"Senator","Democratic"
459,"Paul","Rand","Kentucky",21,0,"Senator","Republican"
460,"Cardin","Benjamin L","Maryland",24,0,"Senator","Democratic"
461,"Fischer","Deb","Nebraska",31,0,"Senator","Republican"
462,"Portman","Rob","Ohio",39,0,"Senator","Republican"
463,"Cantwell","Maria","Washington",53,0,"Senator","Democratic"
464,"Rubio","Marco","Florida",12,0,"Senator","Republican"
465,"Inhofe","James M","Oklahoma",40,0,"Senator","Republican"
466,"Gardner","Cory","Colorado",8,0,"Senator","Republican"
467,"Blumenthal","Richard","Connecticut",9,0,"Senator","Democratic"
468,"Ernst","Joni","Iowa",19,0,"Senator","Republican"
469,"Hassan","Maggie","New Hampshire",33,0,"Senator","Democratic"
470,"Shaheen","Jeanne","New Hampshire",33,0,"Senator","Democratic"
471,"Collins","Susan M","Maine",23,0,"Senator","Republican"
472,"Brown","Sherrod","Ohio",39,0,"Senator","Democratic"
473,"Durbin","Richard","Illinois",17,0,"Senator","Democratic"
474,"Markey","Edward J","Massachusetts",25,0,"Senator","Democratic"
475,"Heinrich","Martin","New Mexico",35,0,"Senator","Democratic"
476,"Toomey","Pat","Pennsylvania",42,0,"Senator","Republican"
477,"Heller","Dean","Nevada",32,0,"Senator","Republican"
478,"Pierluisi","Pedro R","Puerto Rico",72,0,"Representative","Democratic"
479,"Alexander","Lamar","Tennessee",47,0,"Senator","Republican"
480,"McCaskill","Claire","Missouri",29,0,"Senator","Democratic"
481,"Udall","Tom","New Mexico",35,0,"Senator","Democratic"
482,"Donnelly","Joe","Indiana",18,0,"Senator","Democratic"
483,"Grassley","Chuck","Iowa",19,0,"Senator","Republican"
484,"McConnell","Mitch","Kentucky",21,0,"Senator","Republican"
485,"Blunt","Roy","Missouri",29,0,"Senator","Republican"
486,"Capito","Shelley Moore","West Virginia",54,0,"Senator","Republican"
487,"Cotton","Tom","Arkansas",5,0,"Senator","Republican"
488,"Schatz","Brian","Hawaii",15,0,"Senator","Democratic"
489,"Stabenow","Debbie","Michigan",26,0,"Senator","Democratic"
490,"Merkley","Jeff","Oregon",41,0,"Senator","Democratic"
491,"Scott","Tim","South Carolina",45,0,"Senator","Republican"
492,"Corker","Bob","Tennessee",47,0,"Senator","Republican"
493,"Flake","Jeff","Arizona",4,0,"Senator","Republican"
494,"Perdue","David","Georgia",13,0,"Senator","Republican"
495,"Duckworth","Tammy","Illinois",17,0,"Senator","Democratic"
496,"Moran","Jerry","Kansas",20,0,"Senator","Republican"
497,"Hatch","Orrin G","Utah",49,0,"Senator","Republican"
498,"Murphy","Christopher S","Connecticut",9,0,"Senator","Democratic"
499,"Crapo","Mike","Idaho",16,0,"Senator","Republican"
500,"Whitehouse","Sheldon","Rhode Island",44,0,"Senator","Democratic"
501,"Klobuchar","Amy","Minnesota",27,0,"Senator","Democratic"
502,"Sasse","Ben","Nebraska",31,0,"Senator","Republican"
503,"Johnson","Ron","Wisconsin",55,0,"Senator","Republican"
504,"McCain","John","Arizona",4,0,"Senator","Republican"
505,"Boozman","John","Arkansas",5,0,"Senator","Republican"
506,"Feinstein","Dianne","California",6,0,"Senator","Democratic"
507,"Franken","Al","Minnesota",27,0,"Senator","Democratic"
508,"Kaine","Tim","Virginia",51,0,"Senator","Democratic"
509,"Roberts","Pat","Kansas",20,0,"Senator","Republican"
510,"Warner","Mark R","Virginia",51,0,"Senator","Democratic"
511,"Radewagen","Aumua Amata Coleman","American Samoa",60,0,"Representative","Republican"
512,"Isakson","Johnny","Georgia",13,0,"Senator","Republican"
513,"Warren","Elizabeth","Massachusetts",25,0,"Senator","Democratic"
514,"Baldwin","Tammy","Wisconsin",55,0,"Senator","Democratic"
515,"Norton","Eleanor Holmes","District of Columbia",11,0,"Representative","Democratic"
516,"Wicker","Roger F","Mississippi",28,0,"Senator","Republican"
517,"Lankford","James","Oklahoma",40,0,"Senator","Republican"
518,"Sessions","Jeff","Alabama",1,0,"Senator","Republican"
519,"Cassidy","Bill","Louisiana",22,0,"Senator","Republican"
520,"Schumer","Charles E","New York",36,0,"Senator","Democratic"
521,"Bennet","Michael F","Colorado",8,0,"Senator","Democratic"
522,"Bordallo","Madeleine Z","Guam",66,0,"Representative","Democratic"
523,"Sablan","Gregorio Kilili Camacho","Northern Mariana Islands",69,0,"Representative","Democratic"
524,"Risch","James E","Idaho",16,0,"Senator","Republican"
525,"Peters","Gary C","Michigan",26,0,"Senator","Democratic"
526,"Cochran","Thad","Mississippi",28,0,"Senator","Republican"
527,"Graham","Lindsey","South Carolina",45,0,"Senator","Republican"
528,"Harris","Kamala","California",6,0,"Senator","Democratic"
529,"Booker","Cory A","New Jersey",34,0,"Senator","Democratic"
530,"Menendez","Robert","New Jersey",34,0,"Senator","Democratic"
531,"LaHood","Darin","Not Specified",0,0,"Representative","Unaffiliated"
532,"Masto","Catherine Cortez","Nevada",32,0,"Senator","Democratic"
533,"Tillis","Thom","North Carolina",37,0,"Senator","Republican"
534,"Davidson","Warren","Not Specified",0,0,"Representative","Unaffiliated"
535,"Young","Todd","Indiana",18,0,"Senator","Republican"
536,"Reed","Jack","Rhode Island",44,0,"Senator","Democratic"
537,"Cruz","Ted","Texas",48,0,"Senator","Republican"
538,"Cornyn","John","Texas",48,0,"Senator","Republican"
539,"Murray","Patty","Washington",53,0,"Senator","Democratic"
540,"Nelson","Bill","Florida",12,0,"Senator","Democratic"
541,"Van Hollen","Chris","Maryland",24,0,"Senator","Democratic"
542,"Wyden","Ron","Oregon",41,0,"Senator","Democratic"
543,"Plaskett","Stacey E","Virgin Islands",0,0,"Representative","Democratic"
