"representativeid","lastname","firstname","statelabel","statecode","district","chamber","party"
98,"Gonzalez","Vicente","Texas",48,15,"Representative","Democratic"
99,"Castro","Joaquin","Texas",48,20,"Representative","Democratic"
100,"Williams","Roger","Texas",48,25,"Representative","Republican"
101,"Doggett","Lloyd","Texas",48,35,"Representative","Democratic"
102,"Granger","Kay","Texas",48,12,"Representative","Republican"
103,"Carter","John R","Texas",48,31,"Representative","Republican"
104,"McCaul","Michael T","Texas",48,10,"Representative","Republican"
105,"Fortenberry","Jeff","Nebraska",31,1,"Representative","Republican"
106,"Flores","Bill","Texas",48,17,"Representative","Republican"
107,"Russell","Steve","Oklahoma",40,5,"Representative","Republican"
108,"Veasey","Marc A","Texas",48,33,"Representative","Democratic"
109,"Burgess","Michael C","Texas",48,26,"Representative","Republican"
110,"Barton","Joe","Texas",48,6,"Representative","Republican"
111,"Peterson","Collin C","Minnesota",27,7,"Representative","Democratic"
112,"Marchant","Kenny","Texas",48,24,"Representative","Republican"
113,"Johnson","Eddie Bernice","Texas",48,30,"Representative","Democratic"
114,"Mullin","Markwayne","Oklahoma",40,2,"Representative","Republican"
115,"Ratcliffe","John","Texas",48,4,"Representative","Republican"
116,"Sessions","Pete","Texas",48,32,"Representative","Republican"
117,"Johnson","Sam","Texas",48,3,"Representative","Republican"
118,"Jenkins","Lynn","Kansas",20,2,"Representative","Republican"
119,"Hensarling","Jeb","Texas",48,5,"Representative","Republican"
120,"King","Steve","Iowa",19,4,"Representative","Republican"
121,"Bacon","Don","Nebraska",31,2,"Representative","Republican"
122,"Walz","Timothy J","Minnesota",27,1,"Representative","Democratic"
123,"Bridenstine","Jim","Oklahoma",40,1,"Representative","Republican"
124,"Olson","Pete","Texas",48,22,"Representative","Republican"
125,"Young","David","Iowa",19,3,"Representative","Republican"
126,"Culberson","John Abney","Texas",48,7,"Representative","Republican"
127,"Graves","Sam","Missouri",29,6,"Representative","Republican"
128,"Green","Al","Texas",48,9,"Representative","Democratic"
129,"Poe","Ted","Texas",48,2,"Representative","Republican"
130,"Gohmert","Louie","Texas",48,1,"Representative","Republican"
131,"Jackson Lee","Sheila","Texas",48,18,"Representative","Democratic"
132,"Green","Gene","Texas",48,29,"Representative","Democratic"
133,"Yoder","Kevin","Kansas",20,3,"Representative","Republican"
134,"Emmer","Tom","Minnesota",27,6,"Representative","Republican"
135,"Long","Billy","Missouri",29,7,"Representative","Republican"
136,"Womack","Steve","Arkansas",5,3,"Representative","Republican"
137,"Hartzler","Vicky","Missouri",29,4,"Representative","Republican"
138,"Cleaver","Emanuel","Missouri",29,5,"Representative","Democratic"
139,"Westerman","Bruce","Arkansas",5,4,"Representative","Republican"
140,"Fleming","John","Louisiana",22,4,"Representative","Republican"
141,"Loebsack","David","Iowa",19,2,"Representative","Democratic"
142,"Kline","John","Minnesota",27,2,"Representative","Republican"
143,"Paulsen","Erik","Minnesota",27,3,"Representative","Republican"
144,"Blum","Rod","Iowa",19,1,"Representative","Republican"
145,"Ellison","Keith","Minnesota",27,5,"Representative","Democratic"
146,"Hill","French J","Arkansas",5,2,"Representative","Republican"
147,"McCollum","Betty","Minnesota",27,4,"Representative","Democratic"
148,"Abraham","Ralph Lee","Louisiana",22,5,"Representative","Republican"
149,"Crawford","Eric A","Arkansas",5,1,"Representative","Republican"
150,"Smith","Jason","Missouri",29,8,"Representative","Republican"
151,"Luetkemeyer","Blaine","Missouri",29,3,"Representative","Republican"
152,"Graves","Garret","Louisiana",22,6,"Representative","Republican"
153,"Harper","Gregg","Mississippi",28,3,"Representative","Republican"
154,"LaHood","Darin","Illinois",17,18,"Representative","Republican"
155,"Thompson","Bennie G","Mississippi",28,2,"Representative","Democratic"
156,"Richmond","Cedric L","Louisiana",22,2,"Representative","Democratic"
157,"Bustos","Cheri","Illinois",17,17,"Representative","Democratic"
158,"Davis","Rodney","Illinois",17,13,"Representative","Republican"
159,"Wagner","Ann","Missouri",29,2,"Representative","Republican"
160,"Clay","Wm Lacy","Missouri",29,1,"Representative","Democratic"
161,"Pocan","Mark","Wisconsin",55,2,"Representative","Democratic"
162,"Bost","Mike","Illinois",17,12,"Representative","Republican"
163,"Cohen","Steve","Tennessee",47,9,"Representative","Democratic"
164,"Kelly","Trent","Mississippi",28,1,"Representative","Republican"
165,"Nunnelee","Alan","Mississippi",28,1,"Representative","Republican"
166,"Shimkus","John","Illinois",17,15,"Representative","Republican"
167,"Kinzinger","Adam","Illinois",17,16,"Representative","Republican"
168,"Grothman","Glenn","Wisconsin",55,6,"Representative","Republican"
169,"Blackburn","Marsha","Tennessee",47,7,"Representative","Republican"
170,"Ryan","Paul","Wisconsin",55,1,"Representative","Republican"
171,"Hultgren","Randy","Illinois",17,14,"Representative","Republican"
172,"Sewell","Terri A","Alabama",1,7,"Representative","Democratic"
173,"Foster","Bill","Illinois",17,11,"Representative","Democratic"
174,"Roskam","Peter J","Illinois",17,6,"Representative","Republican"
175,"Krishnamoorthi","Raja","Illinois",17,8,"Representative","Democratic"
176,"Aderholt","Robert B","Alabama",1,4,"Representative","Republican"
177,"Kelly","Robin L","Illinois",17,2,"Representative","Democratic"
