,BillID,CommittteeName
201,159,Committee on Homeland Security and Governmental Affairs of the Senate
202,159,Committee on the Judiciary of the House of Representatives
203,159,Committee on Homeland Security of the House of Representatives
204,160,
205,161,Committee on Natural Resources
206,162,"Committee on Health, Education, Labor, and Pensions"
207,163,Committee on Energy and Commerce
208,164,Committee on Education and the Workforce
209,165,"Committee on Health, Education, Labor, and Pensions"
210,166,Committee on Energy and Commerce
211,167,Committee on the Judiciary
212,168,"Committee on Health, Education, Labor, and Pensions"
213,169,
214,170,Committee on Veterans' Affairs
215,170,Oversight and Government Reform
216,171,Committee on the Judiciary
217,171,Education and the Workforce
218,172,Committee on Foreign Affairs
219,173,Committee on the Judiciary
220,174,Committee on the Judiciary
221,175,"Committee on Health, Education, Labor, and Pensions"
222,176,Committee on the Judiciary
223,177,
224,178,Committee on Homeland Security
225,179,Committee on Education and the Workforce
226,180,Committee on the Judiciary
227,181,Committee on the Judiciary
228,182,"Committee on Health, Education, Labor, and Pensions"
229,183,"Committee on Health, Education, Labor, and Pensions"
230,184,
231,185,Committee on Natural Resources
232,186,Committee on Energy and Commerce
233,187,Committee on Oversight and Government Reform
234,188,Committee on Foreign Relations
235,189,Committee on the Judiciary
236,190,"Committee on Health, Education, Labor, and Pensions"
237,191,Committee on the Judiciary
238,192,Committee on Natural Resources
239,193,Committee on Finance
240,194,Committee on Energy and Commerce
241,195,Committee on Energy and Commerce
242,196,Committee on the Judiciary
243,197,Committee on the Judiciary
244,198,Committee on the Judiciary
245,199,Committee on Armed Services
246,200,Committee on Finance
247,201,Committee on Oversight and Government Reform
248,202,Committee on Energy and Commerce
249,203,
250,204,Committee on Energy and Commerce
251,205,Committee on the Judiciary
252,206,"Committee on Health, Education, Labor, and Pensions"
253,207,Committee on the Judiciary
254,208,Committee on Energy and Commerce
255,208,the Judiciary
256,208,Natural Resources
257,209,Committee on the Judiciary
258,210,Committee on the Judiciary
259,211,Committee on Natural Resources
260,212,Committee on Agriculture
261,212,Education and the Workforce
262,213,Committee on Oversight and Government Reform
263,214,Committee on Oversight and Government Reform
264,215,Committee on Oversight and Government Reform
265,216,Committee on Oversight and Government Reform
266,217,Committee on the Judiciary
267,218,Committee on Energy and Commerce
268,218,Education and the Workforce
269,219,Committee on Financial Services
270,219,the Budget
271,219,the Judiciary
272,220,Committee on the Judiciary
273,221,Committee on Education and the Workforce
274,222,Committee on Financial Services
275,222,House Administration
276,223,Committee on the Judiciary
277,224,Committee on Agriculture
278,225,"Committee on Health, Education, Labor, and Pensions"
279,226,"Committee on Agriculture, Nutrition, and Forestry"
280,227,Committee on the Judiciary
281,228,Committee on Education and the Workforce
282,229,Committee on Energy and Commerce
283,230,Committee on Energy and Commerce
284,231,Committee on the Judiciary
285,232,Committee on the Judiciary
286,233,Committee on Energy and Commerce
287,234,Committee on Armed Services
288,235,Committee on the Judiciary
289,236,
290,237,"Committee on Health, Education, Labor, and Pensions"
291,238,"Committee on Health, Education, Labor, and Pensions"
292,239,"Committee on Health, Education, Labor, and Pensions"
293,240,Committee on the Judiciary
294,241,Committee on the Judiciary
295,242,Committee on Financial Services
296,242,House Administration
297,243,Committee on the Judiciary
298,244,Committee on Foreign Affairs
299,245,Committee on the Judiciary
300,246,
301,247,Committee on Small Business
302,247,Armed Services
303,248,"Committee on Banking, Housing, and Urban Affairs"
304,249,Committee on Oversight and Government Reform
305,249,Financial Services
306,250,Committee on Education and the Workforce
307,251,Committee on Homeland Security
308,252,Committee on the Judiciary
309,253,Committee on Homeland Security and Governmental Affairs
310,254,"Committee on Health, Education, Labor, and Pensions"
311,255,Committee on Financial Services
312,256,Committee on Financial Services
313,256,Committee on House Administration
314,257,
