,Name,Link,OfficialTitle,BillStage,Date,LegisType,CommitteeName,SponsorLastName,SponsorFirstName,SponsorState,CoSponsorLastName,CoSponsorFirstName,CoSponsorState
42,BILLS-115hr5924ih,https://www.govinfo.gov/content/pkg/BILLS-115hr5924ih/xml/BILLS-115hr5924ih.xml,,,,,,,,,,,
43,BILLS-115hr4527ih,https://www.govinfo.gov/content/pkg/BILLS-115hr4527ih/xml/BILLS-115hr4527ih.xml,,,,,,,,,,,
44,BILLS-115hr4093ih,https://www.govinfo.gov/content/pkg/BILLS-115hr4093ih/xml/BILLS-115hr4093ih.xml,,,,,,,,,,,
45,BILLS-115hr1983ih,https://www.govinfo.gov/content/pkg/BILLS-115hr1983ih/xml/BILLS-115hr1983ih.xml,,,,,,,,,,,
46,BILLS-115sres545ats,https://www.govinfo.gov/content/pkg/BILLS-115sres545ats/xml/BILLS-115sres545ats.xml,,,,,,,,,,,
47,BILLS-115hres511ih,https://www.govinfo.gov/content/pkg/BILLS-115hres511ih/xml/BILLS-115hres511ih.xml,,,,,,,,,,,
48,BILLS-115hr6315ih,https://www.govinfo.gov/content/pkg/BILLS-115hr6315ih/xml/BILLS-115hr6315ih.xml,,,,,,,,,,,
49,BILLS-115hres1071eh,https://www.govinfo.gov/content/pkg/BILLS-115hres1071eh/xml/BILLS-115hres1071eh.xml,,,,,,,,,,,
50,BILLS-115hr4100eh,https://www.govinfo.gov/content/pkg/BILLS-115hr4100eh/xml/BILLS-115hr4100eh.xml,,,,,,,,,,,
51,BILLS-115hr4100rfs,https://www.govinfo.gov/content/pkg/BILLS-115hr4100rfs/xml/BILLS-115hr4100rfs.xml,,,,,,,,,,,
52,BILLS-115s2250is,https://www.govinfo.gov/content/pkg/BILLS-115s2250is/xml/BILLS-115s2250is.xml,,,,,,,,,,,
53,BILLS-115sres190ats,https://www.govinfo.gov/content/pkg/BILLS-115sres190ats/xml/BILLS-115sres190ats.xml,,,,,,,,,,,
54,BILLS-115hr4680ih,https://www.govinfo.gov/content/pkg/BILLS-115hr4680ih/xml/BILLS-115hr4680ih.xml,,,,,,,,,,,
55,BILLS-115hr151ih,https://www.govinfo.gov/content/pkg/BILLS-115hr151ih/xml/BILLS-115hr151ih.xml,,,,,,,,,,,
56,BILLS-115hr713ih,https://www.govinfo.gov/content/pkg/BILLS-115hr713ih/xml/BILLS-115hr713ih.xml,,,,,,,,,,,
57,BILLS-115hr4100ih,https://www.govinfo.gov/content/pkg/BILLS-115hr4100ih/xml/BILLS-115hr4100ih.xml,,,,,,,,,,,
58,BILLS-115hres1071ih,https://www.govinfo.gov/content/pkg/BILLS-115hres1071ih/xml/BILLS-115hres1071ih.xml,,,,,,,,,,,
59,BILLS-115hres732ih,https://www.govinfo.gov/content/pkg/BILLS-115hres732ih/xml/BILLS-115hres732ih.xml,,,,,,,,,,,
60,BILLS-115s689is,https://www.govinfo.gov/content/pkg/BILLS-115s689is/xml/BILLS-115s689is.xml,,,,,,,,,,,
61,BILLS-115sres487is,https://www.govinfo.gov/content/pkg/BILLS-115sres487is/xml/BILLS-115sres487is.xml,,,,,,,,,,,
62,BILLS-115s2572is,https://www.govinfo.gov/content/pkg/BILLS-115s2572is/xml/BILLS-115s2572is.xml,,,,,,,,,,,
63,BILLS-115hres203rh,https://www.govinfo.gov/content/pkg/BILLS-115hres203rh/xml/BILLS-115hres203rh.xml,,,,,,,,,,,
64,BILLS-115hres854ih,https://www.govinfo.gov/content/pkg/BILLS-115hres854ih/xml/BILLS-115hres854ih.xml,,,,,,,,,,,
65,BILLS-115hr2538ih,https://www.govinfo.gov/content/pkg/BILLS-115hr2538ih/xml/BILLS-115hr2538ih.xml,,,,,,,,,,,
66,BILLS-115hr1957ih,https://www.govinfo.gov/content/pkg/BILLS-115hr1957ih/xml/BILLS-115hr1957ih.xml,,,,,,,,,,,
67,BILLS-115hres1066ih,https://www.govinfo.gov/content/pkg/BILLS-115hres1066ih/xml/BILLS-115hres1066ih.xml,,,,,,,,,,,
68,BILLS-115hres1060ih,https://www.govinfo.gov/content/pkg/BILLS-115hres1060ih/xml/BILLS-115hres1060ih.xml,,,,,,,,,,,
69,BILLS-115s3784is,https://www.govinfo.gov/content/pkg/BILLS-115s3784is/xml/BILLS-115s3784is.xml,,,,,,,,,,,
70,BILLS-115hr6359ih,https://www.govinfo.gov/content/pkg/BILLS-115hr6359ih/xml/BILLS-115hr6359ih.xml,,,,,,,,,,,
71,BILLS-115s3129is,https://www.govinfo.gov/content/pkg/BILLS-115s3129is/xml/BILLS-115s3129is.xml,,,,,,,,,,,
72,BILLS-115hr4114ih,https://www.govinfo.gov/content/pkg/BILLS-115hr4114ih/xml/BILLS-115hr4114ih.xml,,,,,,,,,,,
